City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Hilo,US,2022-01-06 21:11:20,few clouds,19.7297,-155.09,80.33,72,20,9.22
60,Cherusti,RU,2022-01-06 21:13:35,overcast clouds,55.5498,40.0107,28.83,92,100,8.84
61,Mahebourg,MU,2022-01-06 21:13:35,broken clouds,-20.4081,57.7,75.49,94,75,3.44
62,Yellowknife,CA,2022-01-06 21:13:35,overcast clouds,62.456,-114.3525,-1.01,97,100,11.3
63,Kaitangata,NZ,2022-01-06 21:13:36,broken clouds,-46.2817,169.8464,58.93,71,62,9.82
64,Phalombe,MW,2022-01-06 21:13:36,light rain,-15.8064,35.6507,68.67,94,100,1.41
65,Nouakchott,MR,2022-01-06 21:13:37,overcast clouds,18.0858,-15.9785,75.13,30,96,11.03
66,Puerto Ayora,EC,2022-01-06 21:11:44,overcast clouds,-0.7393,-90.3518,80.56,74,96,10.11
67,Jamestown,US,2022-01-06 21:13:37,overcast clouds,42.097,-79.2353,25.92,68,100,7.0
68,Vanavara,RU,2022-01-06 21:13:38,overcast clouds,60.34,102.2797,-11.2,100,94,3.22
69,Yumen,CN,2022-01-06 21:13:38,overcast clouds,40.2833,97.2,17.92,54,99,7.16
70,Axim,GH,2022-01-06 21:13:38,clear sky,4.8699,-2.2405,80.55,80,4,7.45
71,East London,ZA,2022-01-06 21:11:05,overcast clouds,-33.0153,27.9116,70.88,89,94,13.27
72,Saskylakh,RU,2022-01-06 21:13:39,clear sky,71.9167,114.0833,-20.04,94,8,8.05
73,Upata,VE,2022-01-06 21:13:39,broken clouds,8.0086,-62.3989,83.19,53,74,7.67
74,Paamiut,GL,2022-01-06 21:13:40,overcast clouds,61.994,-49.6678,10.92,91,94,9.13
75,Tuktoyaktuk,CA,2022-01-06 21:13:40,overcast clouds,69.4541,-133.0374,-12.73,95,100,22.44
76,Torbay,CA,2022-01-06 21:13:40,moderate rain,47.6666,-52.7314,49.26,94,100,7.0
77,Hukuntsi,BW,2022-01-06 21:13:41,scattered clouds,-24.0,21.75,79.61,46,25,5.97
78,Gizo,SB,2022-01-06 21:13:41,light rain,-8.103,156.8419,80.92,80,98,7.74
79,Busselton,AU,2022-01-06 21:13:41,clear sky,-33.65,115.3333,63.05,77,0,15.08
80,Viedma,AR,2022-01-06 21:13:42,clear sky,-40.8135,-62.9967,96.31,12,0,8.66
81,Hobart,AU,2022-01-06 21:13:42,broken clouds,-42.8794,147.3294,67.01,93,75,5.75
82,Arraial Do Cabo,BR,2022-01-06 21:13:42,scattered clouds,-22.9661,-42.0278,76.86,78,40,5.75
83,Avarua,CK,2022-01-06 21:13:43,overcast clouds,-21.2078,-159.775,84.25,74,100,5.75
84,Khash,IR,2022-01-06 21:13:43,few clouds,28.2211,61.2158,40.55,68,19,5.39
85,Port Hardy,CA,2022-01-06 21:13:44,light rain,50.6996,-127.4199,44.76,91,100,24.67
86,Kavieng,PG,2022-01-06 21:13:44,light rain,-2.5744,150.7967,82.45,74,100,12.12
87,Lompoc,US,2022-01-06 21:12:54,clear sky,34.6391,-120.4579,77.13,70,1,3.0
88,Chokurdakh,RU,2022-01-06 21:13:44,overcast clouds,70.6333,147.9167,-32.04,97,98,2.57
89,Ulladulla,AU,2022-01-06 21:13:45,light rain,-35.35,150.4667,71.76,86,100,12.37
90,Kargat,RU,2022-01-06 21:13:45,overcast clouds,55.1956,80.2811,6.94,96,92,5.93
91,Itarema,BR,2022-01-06 21:13:45,few clouds,-2.9248,-39.9167,80.4,75,16,11.79
92,Majene,ID,2022-01-06 21:13:46,overcast clouds,-3.5403,118.9707,77.63,86,100,8.93
93,Vostok,RU,2022-01-06 21:13:46,overcast clouds,46.4856,135.8833,-12.66,99,100,3.65
94,Port-Gentil,GA,2022-01-06 21:13:47,broken clouds,-0.7193,8.7815,80.51,81,65,12.15
95,Ancud,CL,2022-01-06 21:13:47,few clouds,-41.8697,-73.8203,79.23,72,13,4.05
96,San Miguel,SV,2022-01-06 21:13:47,clear sky,13.4833,-88.1833,93.56,31,0,3.6
97,Severo-Kurilsk,RU,2022-01-06 21:13:48,light snow,50.6789,156.125,30.58,83,94,15.7
98,Cherskiy,RU,2022-01-06 21:13:48,overcast clouds,68.75,161.3,-9.69,98,100,5.08
99,Kirakira,SB,2022-01-06 21:13:48,overcast clouds,-10.4544,161.9205,81.52,77,93,4.54
100,Nouadhibou,MR,2022-01-06 21:13:49,broken clouds,20.931,-17.0347,64.44,75,81,23.15
101,Norilsk,RU,2022-01-06 21:13:49,overcast clouds,69.3535,88.2027,-18.58,93,100,9.22
102,Marawi,PH,2022-01-06 21:13:50,overcast clouds,7.9986,124.2928,65.64,97,86,2.04
103,Maragogi,BR,2022-01-06 21:13:50,clear sky,-9.0122,-35.2225,79.84,77,7,11.18
104,Eureka,US,2022-01-06 21:12:42,overcast clouds,40.8021,-124.1637,63.19,96,99,3.0
105,Ranong,TH,2022-01-06 21:13:51,broken clouds,9.9658,98.6348,71.98,91,51,4.43
106,Dudinka,RU,2022-01-06 21:13:51,overcast clouds,69.4058,86.1778,-18.38,97,100,15.05
107,Quatre Cocos,MU,2022-01-06 21:13:51,overcast clouds,-20.2078,57.7625,75.31,77,100,4.41
108,Iqaluit,CA,2022-01-06 21:13:52,overcast clouds,63.7506,-68.5145,-22.2,90,98,12.15
109,Chato,TZ,2022-01-06 21:13:52,broken clouds,-2.6378,31.7669,67.82,77,51,3.78
110,Khani,GE,2022-01-06 21:13:52,scattered clouds,41.9563,42.9566,31.57,76,27,9.01
111,Hasaki,JP,2022-01-06 21:13:53,few clouds,35.7333,140.8333,27.0,61,16,12.41
112,Vilcun,CL,2022-01-06 21:13:53,clear sky,-38.65,-72.2333,70.54,29,0,8.19
113,Faanui,PF,2022-01-06 21:13:53,few clouds,-16.4833,-151.75,81.63,70,12,9.78
114,Luau,AO,2022-01-06 21:13:54,overcast clouds,-10.7073,22.2247,66.56,97,100,3.24
115,Qaanaaq,GL,2022-01-06 21:13:54,broken clouds,77.484,-69.3632,1.78,58,57,7.81
116,Nanortalik,GL,2022-01-06 21:13:54,broken clouds,60.1432,-45.2371,22.12,77,53,22.32
117,Gravdal,NO,2022-01-06 21:13:55,clear sky,68.1214,13.5031,24.69,58,0,2.3
